,version,matrix_size,tile_size,instructions,cpu-cycles,branch-misses,branch-instructions,cache-references,cache-misses,dtlb-read-accesses,dtlb-read-misses,dtlb-write-misses,dtlb-write-accesses,l1d-read-accesses,l1d-read-misses,l1d-write-accesses,ll-read-accesses,ll-read-misses,ll-write-accesses,ll-write-misses,time-elapsed,page_fault
0,v4,2048,256,386826526478,138917110154,33687916,8687361324,16018944906,3589048,129085098795,127690,7951,17247604781,129186362107,8580573739,17249805948,8171622607,97067,436338,17,44.984342081s,0
1,v2,2048,128,387357090904,130977802524,67679257,8791445180,6303589516,10909524,129386294476,627400,7454,17315681108,129395889669,8557929177,17317040399,3255156727,413786,649996,17,42.413703458s,0
2,v4,2048,512,386728849611,142082703128,16811063,8636493919,17019828306,4068623,128936666220,145524,7620,17209180823,129024854516,8597341468,17218472443,8551627086,130532,325819,8,46.017356113s,0
3,v3,2048,4,424690368295,139909728645,346441,17060421292,6598772813,1546586379,151412035900,871727614,130694317,22837162211,151485559721,2971405677,22824520001,1086061550,94816621,4028,816,48.250997558s,0
4,v2,2048,256,387028044384,142353542035,33695436,8689880422,16130277369,3937381,129107579815,303173,8173,17245507369,129122265652,8582165961,17253076682,8223571041,250105,531697,8,46.096207703s,0
5,v1,2048,512,386619322595,140214362952,16810267,8637590192,17029574801,4078043,128954768427,177187,7670,17212375402,129010572080,8598051844,17221322473,8552832806,256782,287511,8,45.406670615s,0
6,v5,2048,2,491624471268,112372729534,1090617,31168140760,266108152,61544852,189038556787,2847681,650253,32184852828,188823735440,282596387,32210717716,7041962,3356095,306,161,36.394229707s,0
7,v2,2048,2,490903293666,151243065866,1080715,31151597983,7985675589,272515997,188974399460,344124843,632913,32196615131,188981816748,3718559628,32240761227,1552967560,35399736,149231,72465,49.760214423s,0
8,v1,2048,8,403357798197,98386120656,16880363,12257426038,323079033,107845254,138592909381,32753165,17797,19627462032,138694289724,475835589,19647374185,106788077,15397314,1421,1370,31.918435902s,0
9,v1,2048,64,388363336459,116224803907,136449929,8997817277,255260213,18423985,129949053802,1582831,6892,17455516642,129950095255,8319393543,17451162272,141748154,985532,36016,119,37.641817516s,0
10,v5,2048,32,390175955798,112221217125,277012453,9416796239,47209773,15117589,131013714150,396502,8284,17731452762,131103038662,8053822246,17746739922,6863137,605749,238,17,36.341731271s,0
11,v6,2048,256,387002241955,140654512730,33693086,8688189339,16057307784,4284665,129088211692,280828,8124,17244374402,129114741784,8580424443,17245538400,8203040357,251836,1003379,0,45.549311876s,0
12,v1,2048,2,489735863392,195360141119,1083093,31092356111,8235903675,1938626210,188746281987,364029591,1709494,32223182274,189698254405,3685233552,32354950619,1538489022,196381978,81116,27392,1m8.535231427s,0
13,v1,2048,256,387027265426,140706482935,33697498,8689498714,16010062730,4016509,129090156192,266825,7916,17244916364,129137320618,8580391319,17249753402,8163268056,201367,491307,25,45.569446725s,0
14,v6,2048,2,490959044005,215222768993,1092933,31131357364,17193087516,2508566049,188899892270,3385901751,528976424,32138765958,188593584469,8567962872,32195399507,4280760140,313768792,68286,10303,1m17.954582248s,0
15,v3,2048,16,394531981620,108309392091,83756753,10305049701,383313843,96952906,133419020263,60565902,130520,18322691303,133432518700,7709072298,18330950702,68716923,9667161,654,204,35.207594563s,0
16,v6,2048,8,403017985331,111005764772,16898203,12260780894,1623161201,361482624,138563332955,226963005,21872962,19634522032,138790616497,767337469,19617903323,273409697,48857409,1607,178,37.262894849s,0
17,v2,2048,32,390057891617,112275210601,277050500,9416294386,228863545,29852884,131022242169,4532254,8158,17733518244,131122176264,7949668729,17745253448,18601273,1503502,1657,476,36.368760721s,0
18,v5,2048,512,386669248355,141909146587,16809679,8637032750,17030479513,4013343,128955094580,118182,7479,17213767819,129024573569,8597470953,17219061236,8551661331,105386,320145,42,45.953437827s,0
19,v2,2048,16,394293983144,106084282631,87455542,10303676163,120570883,19055558,133392900030,10317974,9518,18326953640,133522072406,7584423762,18328492057,32340002,3653511,1327,961,34.359602115s,0
20,v5,2048,256,386905788284,139135490424,33698765,8689922371,16129436013,3114588,129109749657,184550,7550,17247223315,129099865266,8579474601,17249175028,8211568241,84577,449286,25,45.056910714s,0
21,v6,2048,16,394760967564,108133187379,81372910,10309903022,322101211,67350254,133404325002,61170498,76288,18322202676,133482846705,7701771922,18316849716,68782226,9896808,510,51,35.17784624s,0
22,v2,2048,64,388296845620,116077318181,136404542,8994597304,221158409,17058865,129913729949,1603838,7195,17452735337,129967708118,8318624931,17453272365,114088904,674165,35982,110,37.590342931s,0
23,v5,2048,64,388441467954,116363867089,136483069,8997871096,213549280,9433595,129930186480,216891,7474,17454156673,129972008143,8322039152,17450521534,145161435,673977,35637,17,37.68076203s,0
24,v3,2048,2,489884536632,218073451113,1094148,31137377125,17191549623,2683132334,188895626733,3277354305,505916464,32228625964,189238735902,8586266773,32301543564,4272894027,370217973,138103,15611,1m19.83043266s,0
25,v6,2048,32,390315555222,113397213475,277089445,9416698910,111359195,32578702,131034017185,16264307,28623,17732226114,131088835807,8066943442,17732914464,18214331,5599659,221,25,36.737986745s,0
26,v2,2048,8,403664688654,96713810703,16904141,12259562082,366236880,60042401,138582740279,41005217,105969,19623897174,138724878965,492435737,19648595291,119235546,3460218,3288,3011,31.326749318s,0
27,v2,2048,512,386702493866,141931246769,16815755,8639551898,17031652196,4177426,128978372881,164387,7555,17213523931,128976592195,8594143886,17210365912,8548722050,199729,339284,8,45.960759919s,0
28,v5,2048,16,394253831635,105661888055,86134363,10300373523,45096212,11424506,133377116282,748523,7716,18323556555,133486730581,7584997339,18331650938,4370259,774345,59,17,34.219156941s,0
29,v3,2048,128,387318868296,131446963600,67697310,8791631656,6438503222,15627757,129387233286,1056023,9475,17316743808,129393258170,8557789348,17316868420,3367278837,791398,1008145,0,42.564368478s,0
30,v1,2048,16,394375799462,106229734034,83468614,10304359280,82488166,26322715,133417793171,11656540,8729,18325149851,133443440552,7583832787,18325499028,30576884,11795253,620,238,34.410164552s,0
31,v4,2048,128,387146384574,131277651886,67635887,8786372326,5784226282,4422240,129340768521,103800,7864,17315142208,129466590381,8563195173,17327010841,3100428335,115721,620778,17,42.516703117s,0
32,v1,2048,4,425930645976,124011466644,324760,17053395327,1106396163,447861396,151398208836,129719468,8943114,22810447354,151269483325,870577371,22803015409,436897902,142019677,46613,417,42.729688044s,0
33,v6,2048,4,425837256292,148672925801,351673,17050081941,6649987190,1324269119,151571345459,870068101,136522515,22818704048,151311906622,2966749395,22789045815,1082907400,139756121,1207,484,52.639500492s,0
34,v4,2048,16,394559397785,105541093114,85004470,10306059795,45556025,11182397,133404235357,423418,6771,18323388388,133453818603,7580703171,18326825130,3883817,468001,84,8,34.183779991s,0
35,v4,2048,8,403454229832,95859134215,16888320,12257976662,68404746,16172156,138593091673,555439,7933,19631970757,138742999205,303377233,19624561077,1290406,537260,119,93,31.046940359s,0
36,v4,2048,2,489785604289,112712804613,1094424,31056452046,251010739,49612793,188604884964,2404992,1937654,32204832309,189898510547,275419527,32339259343,5313410,2073337,7108,76,36.510897312s,0
37,v5,2048,8,403234733340,96475299653,16926430,12269481724,77718699,21002745,138608361788,1193529,194215,19622354524,138538210039,308798355,19667153929,2918466,1741094,255,136,31.253052837s,0
38,v1,2048,128,387267629515,130620508640,67665206,8789637043,5721093455,8537467,129370854158,540590,5375,17314686294,129388467702,8554912794,17314381262,3041293733,365679,615053,25,42.299322636s,0
39,v4,2048,4,424379090730,98989903276,344010,16998884693,130247034,28313567,151282720199,5526707,3487486,22806309548,151294287938,327143616,22882168967,1242898,502786,263,263,32.063036164s,0
