Event,Count (multiplication)
cpu-cycles,9265566248713
branch-misses,4328403834
branch-instructions,562687444169
cache-misses,20795893732
dtlb-read-accesses,8279864168594
dtlb-read-accesses,8280013519791
dtlb-read-misses,11112369
dtlb-write-misses,285183
l1d-read-accesses,8282155264332
l1d-read-misses,549797166688
l1d-write-accesses,1108346587323
l1i-read-misses,3029921
ll-read-accesses,545483931263
ll-read-misses,11590399970
ll-write-accesses,31399246
ll-write-misses,12410611
time-elapsed,53m29.082171764s
