Event,Count (multiplication)
instructions,25818385809858
cpu-cycles,6787029785278
branch-misses,1077762672
branch-instructions,784472331995
cache-references,30984863394
cache-misses,16616639562
dtlb-read-accesses,8870376019864
dtlb-read-misses,9220324047
dtlb-write-misses,478070
dtlb-write-accesses,1256188763719
l1d-read-accesses,8876489611894
l1d-read-misses,34063176497
l1d-write-accesses,1256524388868
ll-read-accesses,8955975610
ll-read-misses,7538820987
ll-write-accesses,789030
ll-write-misses,779964
time-elapsed,37m50.949279881s
