Event,Count (multiplication)
instructions,24790687953538
cpu-cycles,8571170398285
branch-misses,4331402710
branch-instructions,562597850951
cache-references,386347289640
cache-misses,863882835
dtlb-read-accesses,8279790110411
dtlb-read-misses,40615853
dtlb-write-misses,135715
dtlb-write-accesses,1108184826346
l1d-read-accesses,8282377152974
l1d-read-misses,547859719519
l1d-write-accesses,1108274780729
ll-read-accesses,206984763582
ll-read-misses,45017277
ll-write-accesses,41266343
ll-write-misses,450
time-elapsed,46m15.217004934s
