,version,matrix_size,tile_size,cpu-cycles,branch-misses,branch-instructions,cache-misses,dtlb-read-accesses,dtlb-read-misses,dtlb-write-misses,l1d-read-accesses,l1d-read-misses,l1d-write-accesses,l1i-read-misses,ll-read-accesses,ll-read-misses,ll-write-accesses,ll-write-misses,time-elapsed,page_fault
0,v4,2048,256,117428261861,33689462,8691900855,12198861,129105015436,271610,17026,129132014671,8600071840,17251213027,30326,8219626378,379895,1224175,360,38.046267563s,0
1,v2,2048,128,113875967013,67619330,8786869735,26942925,129326555956,756408,14997,129434301050,8592143832,17310312202,30170,3285238537,1116313,1249362,624,36.907185549s,0
2,v2,8192,64,114890643414,67572576,8787514710,26548297,129316095034,789348,15776,129446756951,8596056475,17322871796,37987,3265179957,1097140,1238163,504,37.243173691s,0
3,v4,2048,512,118458227045,16797348,8635488702,21533390,128950455637,257509,16143,129063093662,8614508911,17217382945,37612,8583766481,1432808,523245,776,38.437632092s,0
4,v1,8192,64,113141120369,67618707,8790279388,26962648,129372940605,690182,13572,129419826265,8590563034,17317479189,22100,3268768767,1055288,1262090,288,36.649605478s,0
5,v2,2048,256,119478062492,33683026,8689624370,12737284,129105967333,380326,18065,129135575521,8600540031,17248116412,22732,8177528150,504943,1386042,264,38.696710064s,0
6,v2,8192,256,118650937994,16815490,8639189125,16212518,128963208192,252418,15946,128928287249,8610478398,17216675786,27648,8585965683,1116439,505412,439,38.450388188s,0
7,v6,8192,512,122657977448,16812871,8640968094,13788150,128996694787,149558,16494,128934874187,8609287243,17211905540,26359,8583929040,694491,639254,456,39.738664723s,0
8,v1,2048,512,117970760401,16806417,8639115658,16320987,128966501107,212522,16409,128944312830,8613037651,17217437598,24953,8586945092,1023404,500965,408,38.22102585s,0
9,v3,8192,128,114822218879,67627263,8791560211,32274423,129375412247,1016912,18096,129406921009,8589919014,17311830214,28525,3230429507,1251356,1948540,648,37.198495074s,0
10,v1,2048,8,92159921549,16896163,12267254163,211494644,138670011891,45285157,32030,138714474968,546279177,19642922249,16453,112605105,59009973,512,272,30.479471157s,0
11,v1,2048,64,104544784145,136348883,8997673847,33255499,129931851112,2026227,12493,129951380933,8358994538,17454191020,12963,156696015,3097390,58106,480,33.86597916s,0
12,v5,2048,32,107256363424,277151943,9417488584,33255169,131052402753,685207,14045,131126069606,8016491071,17739053741,36654,15310548,1325670,912,520,34.753176504s,0
13,v6,2048,256,121907356133,33673492,8687929809,8993727,129091228795,312915,17337,129146447580,8603542077,17252509350,25378,8219590012,308867,1505929,208,39.487815749s,0
14,v2,8192,128,112992938271,67621041,8791821219,26602861,129380406017,686861,16515,129398565545,8589866058,17315763669,15439,3196773704,1063423,1273303,392,36.599724831s,0
15,v5,8192,256,122475624074,16807777,8638668173,16277368,128947230663,176434,16262,128968522574,8612908434,17221265318,17894,8587453366,823508,615963,400,39.683633003s,0
16,v5,8192,512,120392404363,16802873,8636833934,16706629,128986096592,201950,16449,128965183229,8609298100,17219013381,26417,8586756457,829322,654598,272,39.00903219s,0
17,v1,2048,256,118031556026,33679997,8689087139,12908645,129085339414,432979,17154,129182965382,8602360182,17249117936,40572,8173682181,601758,1223777,248,38.263626431s,0
18,v3,2048,16,107019231267,80635528,10306284239,171813015,133396131944,61255973,798023,133422890446,7423761685,18330739639,34916,72586840,16714978,1240,624,34.989096498s,0
19,v6,2048,8,104275107044,17024382,12288304224,425757736,138568385889,225474345,29144306,139847608658,826265212,19671724668,40448,271786552,57839163,496,240,35.397852741s,0
20,v2,2048,32,107665776001,277257289,9421403051,74105541,131075771002,6481850,12871,131079601395,8016056875,17733040548,19887,26625398,9381611,2112,624,34.876978407s,0
21,v5,2048,512,117921690867,16806145,8637960671,15941943,128952298194,177266,15733,128974915129,8611424075,17213675056,22445,8585015018,738173,496196,616,38.202547942s,0
22,v2,2048,16,96230166072,49500477,10305511131,130266389,133371481495,18932109,24334,133461457850,7405259727,18324734344,25138,64256321,12528383,2344,1666,31.210337623s,0
23,v4,8192,128,114817687840,67598286,8787996151,25022998,129355065238,222070,15830,129489731760,8595293888,17320251115,27287,3292862893,746368,1424580,352,37.2039174s,0
24,v5,2048,256,121591503991,33686649,8691497923,12676390,129121251614,249950,17415,129134167404,8598117623,17243346130,23670,8191219165,376185,1385189,160,39.387144756s,0
25,v6,2048,16,109104440171,80913585,10301292253,152416475,133387671378,63423840,793696,133436162559,7343638449,18328858833,22406,72623598,26205848,712,576,36.090473054s,0
26,v5,8192,32,114236990532,67614220,8790941628,25824145,129370236934,223331,16712,129414633126,8591140123,17315002375,33603,3262730034,768765,1432614,456,37.031940685s,0
27,v6,8192,16,120637290327,16801634,8635906980,19335664,128962059971,187004,16271,128982128556,8610935467,17216244101,24122,8587694770,1064376,659291,776,39.10972967s,0
28,v2,2048,64,106191979373,136463373,9001062791,38763975,129939403509,2052673,11875,130129943984,8377586471,17457682719,42324,203030532,4052940,64855,880,34.457825947s,0
29,v5,2048,64,104391199611,136342851,8996453311,20747384,129917491089,188835,13400,129960963858,8362565244,17454156539,18539,155143384,876769,57993,488,33.815711905s,0
30,v6,2048,32,109368091306,277309285,9420107884,94598310,131062190011,16141895,21999,131043706867,8010323810,17740523310,25330,21922872,9825660,2050,784,35.482098004s,0
31,v2,2048,8,92213460494,16896816,12262591413,206674029,138624321207,51572039,29480,138787634249,529816751,19633399532,19798,127620258,70619268,512,440,30.657653728s,0
32,v4,8192,16,120279814553,16807869,8640327124,15474099,128982557971,197883,16069,128977059371,8611800619,17214757789,23899,8583674942,851403,640500,368,38.973706136s,0
33,v1,8192,256,118038181182,16810692,8640408500,16665408,128967979815,219230,16017,129010996725,8610708206,17203542022,24947,8582604318,743432,489096,432,38.245913662s,0
34,v4,8192,256,120598120380,16805963,8638215900,17469310,128988131159,209671,15674,129010603566,8612794286,17212482319,21457,8579595400,1073035,652563,632,39.081770207s,0
35,v3,8192,512,122663193394,16805184,8637653367,13913441,128950034464,162762,16283,128987207525,8612468695,17215287852,26731,8584776701,681801,623441,352,39.744527494s,0
36,v2,2048,512,118186254798,16806522,8639104008,15749683,128987014293,288393,16038,128990605860,8612060383,17210160070,29381,8583236308,1001612,516368,352,38.319083333s,0
37,v1,8192,512,122433669215,16802794,8637744644,16566820,128952030283,227546,16689,129035102658,8614085886,17217478443,21366,8585455671,941542,610482,816,39.675476916s,0
38,v5,2048,16,95084172301,49317116,10296378721,37771634,133383939404,829402,462238,133549611063,7376881219,18328117509,18407,16978793,1760198,1729,744,30.800521123s,0
39,v3,2048,128,114644426398,67604865,8789908814,32540279,129359533357,1015127,19510,129406839778,8593155126,17320889433,13992,3304111061,1261191,1916396,728,37.133955072s,0
40,v1,2048,16,96491219217,52165735,10301037712,129602794,133369549406,18829938,22764,133501959833,7411604033,18335007691,30384,64046906,13359921,2498,1793,31.306876194s,0
41,v6,8192,128,114996298424,67545544,8786986278,32540256,129378963631,1001604,20879,129438548132,8588864763,17314625206,24631,3178091298,1256575,1866900,280,37.251334043s,0
42,v1,8192,32,112931632104,67640628,8793545630,29482351,129388923462,698210,16590,129332928073,8587356668,17315595830,19178,3181202846,1226785,1254203,592,36.587940526s,0
43,v4,2048,128,113193270602,67686241,8797977869,21257603,129457608733,236158,16007,129405906396,8585276686,17300921601,32047,3246297788,509568,1320496,320,36.712212662s,0
44,v4,2048,16,94545153956,51198512,10304893354,21422455,133339486754,919188,19458,133496452768,7375162113,18331890713,17061,15068115,1311551,1289,376,30.629992542s,0
45,v4,2048,8,86691283053,16919352,12273470366,33898636,138684725085,1412651,16367,138612605622,432299201,19627059716,17364,6120174,2024587,551,584,28.090502062s,0
46,v5,8192,64,112965771502,67625566,8792362880,22021944,129389244038,175119,15590,129416284898,8590956894,17316438365,19153,3215361593,508031,1342489,304,36.586833147s,0
47,v5,8192,128,114835998225,67641734,8791709678,25419651,129400864180,192017,16990,129470024291,8591973838,17306502803,31699,3234188995,730983,1353477,736,37.222040172s,0
48,v6,8192,32,112997060341,67593480,8789690230,32203636,129365973473,1000504,19194,129395096675,8592506088,17315770913,14576,3253082403,1207672,1963967,368,36.601895782s,0
49,v5,2048,8,87662920470,16934468,12270298933,40346020,138696405866,1848792,511684,138664763539,433628514,19630531997,21259,8739508,3164156,704,296,28.411742383s,0
50,v1,2048,128,112959807524,67627136,8792036626,27181028,129384332022,686238,15169,129395634471,8589950796,17315446923,20569,3245655982,1092773,1285316,408,36.588581133s,0
51,v4,2048,32,107085502981,277246832,9420431196,13159648,131058995267,560609,12509,131056869359,8012640428,17732257632,20839,17569001,1188540,2040,296,34.691276627s,0
52,v4,8192,512,120928870174,16788426,8628196913,18464193,128862491564,273830,16346,129054856686,8620426096,17241435171,25205,8593763877,1748816,652485,584,39.206298705s,0
53,v6,2048,512,118567111264,16808670,8639595965,21226886,128948365011,203223,15663,128973398675,8612728120,17214507331,38483,8586841209,1348709,565331,696,38.458212511s,0
54,v3,2048,512,123378062975,16813220,8640206290,24588002,128936089366,386226,15961,129028594466,8613874143,17214722975,46862,8584760388,2104647,641729,616,40.046913324s,0
55,v6,8192,256,118627828984,16811607,8641682238,20149654,129003101978,193386,15882,128987327721,8613958250,17214023759,31451,8578704550,2583664,506426,857,38.502716123s,0
56,v3,2048,8,101100083821,16871014,12246445660,412168408,138705858133,220529180,27205514,138701185588,848871190,19572867316,32983,272705119,41951951,2114,768,33.88619525s,0
57,v4,8192,64,115093644381,67631475,8790854284,22623249,129391210960,236919,16690,129430648978,8590830802,17317626848,37231,3205036212,594038,1400466,424,37.296866476s,0
58,v4,2048,64,104493024292,136341883,8996867805,13813870,129930721318,302462,12987,129888905192,8363980687,17447000637,12992,162476181,824326,54053,264,33.849327132s,0
59,v6,2048,128,114543958414,67629114,8791535537,32268671,129370368506,1016257,19133,129390756403,8591707145,17316090873,20308,3308692796,1204580,1965411,376,37.099334502s,0
60,v5,2048,128,114708831312,67629972,8790952468,22057855,129385149424,163305,16812,129413177824,8591444960,17314744669,21813,3307057606,535834,1359038,328,37.151369216s,0
61,v3,2048,64,105656882494,136348061,8999185273,55660601,129933697128,4149232,21503,129909382841,8371897573,17452887132,17670,235980156,5042883,127516,592,34.235994997s,0
62,v4,8192,32,113273722353,67629778,8792837455,25231916,129398974718,229743,16510,129407593561,8587831391,17303371371,35464,3234537358,755209,1364619,648,36.710901486s,0
63,v2,8192,512,122768414281,16805563,8638426982,20214628,128941519783,221328,16302,128964303326,8612724339,17220944607,28256,8591253077,1352365,629389,464,39.796719521s,0
64,v1,2048,32,107781233511,277219650,9420664560,74291674,131071709042,6479909,13194,131009975943,8005351445,17728145864,23429,25325302,9367423,2072,672,34.925431477s,0
65,v3,8192,64,111991594209,67603882,8790073337,32492944,129360176428,1026933,16759,129377654412,8592129023,17321241123,30448,3241072289,1253803,1797335,160,36.290633954s,0
66,v1,8192,16,118225071025,16804977,8637826553,16331128,128970652152,282600,16048,128980326556,8609571167,17208256300,34519,8585151005,996683,521661,360,38.333405179s,0
67,v1,8192,128,112909514738,67603852,8789712815,26973521,129373147588,681683,15316,129451768923,8591556591,17322327575,14749,3223503241,1064281,1266381,264,36.575842589s,0
68,v2,8192,16,120655242744,16811029,8641018968,19371576,129026125339,241254,16266,128983172862,8609591845,17211119962,21792,8578778984,1662491,647944,792,39.103758583s,0
69,v2,8192,32,115924213016,67593408,8788216718,29195409,129351326062,774121,17297,129293035456,8590148312,17330276580,47615,3303746166,1257355,1293279,216,37.602529659s,0
70,v6,2048,64,105086502795,136310707,8993698693,52540123,129885141091,4133655,23298,129964551351,8355528292,17459210771,15925,117355371,5097014,56420,824,34.050374549s,0
71,v3,8192,16,122446058782,16793332,8633989792,14155467,128938921116,158400,16595,129025489874,8613952463,17217094266,24343,8586264914,725945,613268,528,39.677155794s,0
72,v3,8192,32,114410714706,67632390,8792841927,32548719,129382700671,1031297,20270,129382494818,8589941456,17315944141,24307,3191692846,1254294,1839024,376,37.05796645s,0
73,v3,2048,256,119765141059,33676265,8689645063,9809764,129093633582,321082,18173,129115745602,8602353702,17248341904,27880,8199059176,342955,1509559,480,38.797392684s,0
74,v3,2048,32,109064658252,277261267,9421117178,102845524,131071623134,15909757,28650,131036007722,8010807501,17725399390,22886,20134853,9465470,1513,1217,35.35352634s,0
75,v5,8192,16,120395914811,16808006,8640075679,16340946,128974958825,220541,16204,128996688401,8611570829,17212327630,19636,8581752477,806932,634271,472,39.009774065s,0
76,v3,8192,256,120289966534,16809928,8640189660,13089041,128997315563,143453,16103,128988026344,8609189651,17208300067,18395,8582101254,740997,631077,656,38.972400207s,0
77,v6,8192,64,113559993858,67633621,8791085570,32422860,129387032213,1017811,20615,129400655752,8587622872,17311389706,22588,3351786966,1287230,1927145,712,36.792015309s,0
